0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:38:33 +0100] "GET /WebApplication2/NOMESERVIZIO_02.htm?parametro=666 HTTP/1.1" 404 -
127.0.0.1 - tomcat [05/Feb/2019:00:38:36 +0100] "GET /manager/text/deploy?config=file%3A%2Fvar%2Ffolders%2F1c%2Fg851qhds387cf7z065l4vwgc0000gp%2FT%2Fcontext5675982788133562648.xml&path=/WebApplication2 HTTP/1.1" 200 70
127.0.0.1 - tomcat [05/Feb/2019:00:38:36 +0100] "GET /manager/text/start?path=/WebApplication2 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:38:54 +0100] "GET /WebApplication2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:39:00 +0100] "GET /WebApplication2/NOMESERVIZIO.htm?parametro=www HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:39:15 +0100] "GET /WebApplication2/NOMESERVIZIO_02.htm?parametro=www HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:39:37 +0100] "GET /WebApplication2/NOMESERVIZIO_01.htm?parametro=www HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:50:07 +0100] "GET /WebApplication2/NOMESERVIZIO_02.htm?parametro=www HTTP/1.1" 200 61
127.0.0.1 - - [05/Feb/2019:00:56:01 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:56:01 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:56:01 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
